Player,Points,Season,Year
Shaquille O'Neal,1207.0,1999-00,2000
Kevin Garnett,408.0,1999-00,2000
Alonzo Mourning,367.0,1999-00,2000
Karl Malone,312.0,1999-00,2000
Tim Duncan,248.0,1999-00,2000
Gary Payton,180.0,1999-00,2000
Allen Iverson,132.0,1999-00,2000
Grant Hill,113.0,1999-00,2000
Allen Iverson,1121.0,2000-01,2001
Tim Duncan,706.0,2000-01,2001
Shaquille O'Neal,578.0,2000-01,2001
Chris Webber,521.0,2000-01,2001
Kevin Garnett,151.0,2000-01,2001
Tim Duncan,954.0,2001-02,2002
Jason Kidd,897.0,2001-02,2002
Shaquille O'Neal,696.0,2001-02,2002
Tracy McGrady,390.0,2001-02,2002
Tim Duncan,962.0,2002-03,2003
Kevin Garnett,871.0,2002-03,2003
Kobe Bryant,496.0,2002-03,2003
Tracy McGrady,427.0,2002-03,2003
Shaquille O'Neal,126.0,2002-03,2003
Kevin Garnett,1219.0,2003-04,2004
Tim Duncan,716.0,2003-04,2004
Jermaine O'Neal,523.0,2003-04,2004
Peja Stojaković,281.0,2003-04,2004
Kobe Bryant,212.0,2003-04,2004
Shaquille O'Neal,178.0,2003-04,2004
Steve Nash,1066.0,2004-05,2005
Shaquille O'Neal,1032.0,2004-05,2005
Dirk Nowitzki,349.0,2004-05,2005
Tim Duncan,328.0,2004-05,2005
Allen Iverson,240.0,2004-05,2005
Steve Nash,924.0,2005-06,2006
LeBron James,688.0,2005-06,2006
Dirk Nowitzki,544.0,2005-06,2006
Kobe Bryant,483.0,2005-06,2006
Chauncey Billups,430.0,2005-06,2006
Dirk Nowitzki,1138.0,2006-07,2007
Steve Nash,1013.0,2006-07,2007
Kobe Bryant,521.0,2006-07,2007
Tim Duncan,286.0,2006-07,2007
LeBron James,183.0,2006-07,2007
Tracy McGrady,110.0,2006-07,2007
Kobe Bryant,1100.0,2007-08,2008
Chris Paul,894.0,2007-08,2008
Kevin Garnett,670.0,2007-08,2008
LeBron James,438.0,2007-08,2008
LeBron James,1172.0,2008-09,2009
Kobe Bryant,698.0,2008-09,2009
Dwyane Wade,680.0,2008-09,2009
Dwight Howard,328.0,2008-09,2009
Chris Paul,192.0,2008-09,2009
LeBron James,1205.0,2009-10,2010
Kevin Durant,609.0,2009-10,2010
Kobe Bryant,599.0,2009-10,2010
Dwight Howard,478.0,2009-10,2010
Dwyane Wade,119.0,2009-10,2010
Derrick Rose,1182.0,2010-11,2011
Dwight Howard,643.0,2010-11,2011
LeBron James,522.0,2010-11,2011
Kobe Bryant,428.0,2010-11,2011
Kevin Durant,190.0,2010-11,2011
Dirk Nowitzki,113.0,2010-11,2011
LeBron James,1074.0,2011-12,2012
Kevin Durant,889.0,2011-12,2012
Chris Paul,385.0,2011-12,2012
Kobe Bryant,352.0,2011-12,2012
Tony Parker,331.0,2011-12,2012
LeBron James,1207.0,2012-13,2013
Kevin Durant,765.0,2012-13,2013
Carmelo Anthony,475.0,2012-13,2013
Chris Paul,289.0,2012-13,2013
Kobe Bryant,184.0,2012-13,2013
Kevin Durant,1232.0,2013-14,2014
LeBron James,891.0,2013-14,2014
Blake Griffin,434.0,2013-14,2014
Joakim Noah,322.0,2013-14,2014
Stephen Curry,1198.0,2014-15,2015
James Harden,936.0,2014-15,2015
LeBron James,552.0,2014-15,2015
Russell Westbrook,352.0,2014-15,2015
Anthony Davis,203.0,2014-15,2015
Chris Paul,124.0,2014-15,2015
Stephen Curry,1310.0,2015-16,2016
Kawhi Leonard,634.0,2015-16,2016
LeBron James,631.0,2015-16,2016
Russell Westbrook,486.0,2015-16,2016
Kevin Durant,147.0,2015-16,2016
Chris Paul,107.0,2015-16,2016
Russell Westbrook,888.0,2016-17,2017
James Harden,753.0,2016-17,2017
Kawhi Leonard,500.0,2016-17,2017
LeBron James,333.0,2016-17,2017
James Harden,965.0,2017-18,2018
LeBron James,738.0,2017-18,2018
Anthony Davis,445.0,2017-18,2018
Damian Lillard,207.0,2017-18,2018
Giannis Antetokounmpo,941.0,2018-19,2019
James Harden,776.0,2018-19,2019
Paul George,356.0,2018-19,2019
Nikola Jokić,212.0,2018-19,2019
Stephen Curry,175.0,2018-19,2019
Giannis Antetokounmpo,962.0,2019-20,2020
LeBron James,753.0,2019-20,2020
James Harden,367.0,2019-20,2020
Luka Dončić,200.0,2019-20,2020
Kawhi Leonard,168.0,2019-20,2020
Nikola Jokić,971.0,2020-21,2021
Joel Embiid,586.0,2020-21,2021
Stephen Curry,453.0,2020-21,2021
Giannis Antetokounmpo,348.0,2020-21,2021
Chris Paul,139.0,2020-21,2021
Nikola Jokić,875.0,2021-22,2022
Joel Embiid,706.0,2021-22,2022
Giannis Antetokounmpo,595.0,2021-22,2022
Devin Booker,216.0,2021-22,2022
Luka Dončić,146.0,2021-22,2022
Joel Embiid,915.0,2022-23,2023
Nikola Jokić,674.0,2022-23,2023
Giannis Antetokounmpo,606.0,2022-23,2023
Jayson Tatum,280.0,2022-23,2023
Nikola Jokić,926.0,2023-24,2024
Shai Gilgeous-Alexander,640.0,2023-24,2024
Luka Dončić,566.0,2023-24,2024
Giannis Antetokounmpo,192.0,2023-24,2024
Jalen Brunson,142.0,2023-24,2024
Shai Gilgeous-Alexander,913.0,2024-25,2025
Nikola Jokić,787.0,2024-25,2025
Giannis Antetokounmpo,470.0,2024-25,2025
Jayson Tatum,311.0,2024-25,2025
